0.742295f, 0.387384f, 0.158698f,
0.805688f, 0.399257f, 0.136017f,
0.86908f, 0.411129f, 0.113336f,
0.683221f, 0.411129f, 0.185963f,
0.77615f, 0.411129f, 0.14965f,
0.86908f, 0.411129f, 0.113336f,
0.86908f, 0.411129f, 0.113336f,
0.835225f, 0.387384f, 0.122385f,
0.80137f, 0.363638f, 0.131434f,
0.932805f, 0.387384f, 0.092943f,
0.867088f, 0.375511f, 0.112188f,
0.80137f, 0.363638f, 0.131434f,
0.996529f, 0.363638f, 0.072551f,
0.89895f, 0.363638f, 0.101992f,
0.80137f, 0.363638f, 0.131434f,
0.996529f, 0.363638f, 0.072551f,
1.034319f, 0.387384f, 0.073176f,
1.072108f, 0.411129f, 0.073801f,
0.932805f, 0.387384f, 0.092943f,
1.002456f, 0.399257f, 0.083372f,
1.072108f, 0.411129f, 0.073801f,
0.86908f, 0.411129f, 0.113336f,
0.970594f, 0.411129f, 0.093569f,
1.072108f, 0.411129f, 0.073801f,
1.072108f, 0.411129f, 0.073801f,
1.034319f, 0.387384f, 0.073176f,
0.996529f, 0.363638f, 0.072551f,
1.156762f, 0.387384f, 0.084404f,
1.076645f, 0.375511f, 0.078477f,
0.996529f, 0.363638f, 0.072551f,
1.241415f, 0.363638f, 0.095007f,
1.118972f, 0.363638f, 0.083779f,
0.996529f, 0.363638f, 0.072551f,
1.241415f, 0.363638f, 0.095007f,
1.217305f, 0.387384f, 0.088532f,
1.193194f, 0.411129f, 0.082057f,
1.156762f, 0.387384f, 0.084404f,
1.174978f, 0.399257f, 0.08323f,
1.193194f, 0.411129f, 0.082057f,
1.072108f, 0.411129f, 0.073801f,
1.132651f, 0.411129f, 0.077929f,
1.193194f, 0.411129f, 0.082057f,
-0.020505f, 0.458621f, 0.017308f,
-0.03031f, 0.434875f, 0.017925f,
-0.040116f, 0.411129f, 0.018541f,
0.165201f, 0.411129f, 0.145708f,
0.062542f, 0.411129f, 0.082125f,
-0.040116f, 0.411129f, 0.018541f,
0.165201f, 0.411129f, 0.145708f,
0.244557f, 0.434875f, 0.180518f,
0.323914f, 0.458621f, 0.215328f,
0.072348f, 0.434875f, 0.081508f,
0.198131f, 0.446748f, 0.148418f,
0.323914f, 0.458621f, 0.215328f,
-0.020505f, 0.458621f, 0.017308f,
0.151705f, 0.458621f, 0.116318f,
0.323914f, 0.458621f, 0.215328f,
0.323914f, 0.458621f, 0.215328f,
0.244557f, 0.434875f, 0.180518f,
0.165201f, 0.411129f, 0.145708f,
0.468787f, 0.411129f, 0.231102f,
0.316994f, 0.411129f, 0.188405f,
0.165201f, 0.411129f, 0.145708f,
0.468787f, 0.411129f, 0.231102f,
0.515814f, 0.434875f, 0.229875f,
0.562841f, 0.458621f, 0.228648f,
0.323914f, 0.458621f, 0.215328f,
0.443378f, 0.458621f, 0.221988f,
0.562841f, 0.458621f, 0.228648f,
0.562841f, 0.458621f, 0.228648f,
0.515814f, 0.434875f, 0.229875f,
0.468787f, 0.411129f, 0.231102f,
0.683221f, 0.411129f, 0.185963f,
0.576004f, 0.411129f, 0.208533f,
0.468787f, 0.411129f, 0.231102f,
0.683221f, 0.411129f, 0.185963f,
0.717557f, 0.434875f, 0.175901f,
0.751893f, 0.458621f, 0.165838f,
0.562841f, 0.458621f, 0.228648f,
0.657367f, 0.458621f, 0.197243f,
0.751893f, 0.458621f, 0.165838f,
0.751893f, 0.458621f, 0.165838f,
0.717557f, 0.434875f, 0.175901f,
0.683221f, 0.411129f, 0.185963f,
